,Animal - Fold,"Accuracy","Precision","Recall","F-1 Score"
0,antelope - 1,0.9528384279475982,0.9867172675521821,0.9171075837742504,0.9506398537477148
1,antelope - 2,0.8471615720524017,0.9977064220183486,0.7142857142857143,0.8325358851674641
2,antelope - 3,0.840034965034965,0.96875,0.7197346600331676,0.8258801141769743
3,badger - 1,0.9042179261862917,0.891846921797005,0.9241379310344827,0.90770533446232
4,badger - 2,0.9156414762741653,0.9900990099009901,0.8460236886632826,0.9124087591240876
5,badger - 3,0.9313984168865436,0.9732142857142857,0.8963815789473685,0.9332191780821918
6,bat - 1,0.8165057067603161,0.7527173913043478,0.9535283993115319,0.8413059984813972
7,bat - 2,0.9068541300527241,0.9338103756708408,0.883248730964467,0.9078260869565218
8,bat - 3,0.9217926186291739,0.9375,0.914332784184514,0.9257714762301917
9,bear - 1,0.9094903339191565,0.9474671669793621,0.8706896551724138,0.9074573225516621
10,bear - 2,0.8910369068541301,0.8898163606010017,0.9018612521150592,0.895798319327731
11,bear - 3,0.8532513181019332,0.9824945295404814,0.7384868421052632,0.8431924882629108
12,bee - 1,0.9729020979020979,0.9840142095914742,0.9618055555555556,0.9727831431079894
13,bee - 2,0.972027972027972,0.9749582637729549,0.9717138103161398,0.9733333333333333
14,bee - 3,0.8932633420822397,0.8342618384401114,0.9950166112956811,0.9075757575757575
15,beetle - 1,0.9322779243623571,0.9693486590038314,0.892416225749559,0.9292929292929292
16,beetle - 2,0.8485915492957746,0.7866666666666666,0.9800664451827242,0.8727810650887573
17,beetle - 3,0.9066901408450704,0.8913043478260869,0.940983606557377,0.9154704944178629
18,bison - 1,0.9118942731277533,0.8582089552238806,0.9913793103448276,0.9200000000000002
19,bison - 2,0.9497797356828194,0.9376026272577996,0.9677966101694915,0.9524603836530441
20,bison - 3,0.9744493392070485,0.9915254237288136,0.9605911330049262,0.9758131776480401
21,boar - 1,0.8111888111888111,0.7331606217616581,0.9826388888888888,0.8397626112759644
22,boar - 2,0.9117132867132867,0.9863813229571985,0.8435940099833611,0.9094170403587444
23,boar - 3,0.8591426071741033,0.9152542372881356,0.8073089700996677,0.8578993821712267
24,butterfly - 1,0.9658194566170026,0.9716312056737588,0.9597197898423818,0.9656387665198237
25,butterfly - 2,0.957931638913234,0.9694915254237289,0.9501661129568106,0.9597315436241611
26,butterfly - 3,0.9763365468886941,0.9881956155143339,0.966996699669967,0.9774812343619683
27,cat - 1,0.9363557105492589,0.9413854351687388,0.9298245614035088,0.9355692850838481
